HGNC_symbol,1921.stim,2921..stim,966.stim,921.unstim,921..unstim,6966.unstim
DCP1B,8.980747553,9.297907728,9.152436288,10.98833001,10.21232132,11.24386735
DCP2,11.60582935,12.20667648,11.57381951,12.24562275,12.41556901,11.95293475
DCPS,10.41158813,10.78675291,10.58563808,10.24202916,10.84942265,10.34582503
DCST1,5.90063054,6.084680694,6.141806269,6.308732116,6.190960507,6.940448491
DCST1-AS1,6.116049387,6.031277264,6.224787199,6.948726543,6.512108865,7.215759612
DCST2,5.90063054,5.967778528,5.889425093,6.243638289,5.876459265,6.432068258
DCSTAMP,5.90063054,9.030151874,5.889425093,5.684002536,9.569786751,5.684002536
DCTD,12.69230569,13.00777415,12.82464918,11.77024825,12.20182471,12.0571159
DCTN1,12.55982663,12.80607109,12.69047973,13.83846341,13.46720802,13.62624923
DCTN2,11.58197424,11.85059873,11.54738212,12.88957365,12.41047856,12.32298406
DCTN3,11.23646239,11.42045502,10.69063854,12.42203183,12.43408178,11.81927836
DCTN4,11.43718006,11.31531877,11.30033197,11.40793718,11.27152384,11.55480153
DCTN5,13.35536603,13.07136923,12.82589453,12.80760722,13.12277088,12.45778762
DCTN6,11.04585244,10.38270464,10.88173131,9.71583184,9.624637624,9.801386089
DCTN6-DT,7.218679419,6.610686002,6.83434583,7.002611703,6.533028503,7.0014953
DCTPP1,12.99799583,11.88183602,12.35456062,10.96518274,10.92007937,10.22301942
DCUN1D1,11.71054874,11.54759601,11.29374423,12.07732703,11.60441562,11.5866539
DCUN1D2,8.716115251,9.060408319,8.949028243,9.485835772,9.338908013,9.736899299
DCUN1D2-AS,5.990074363,6.131617921,6.224787199,6.127464679,6.225570687,6.061164679
DCUN1D3,11.62293394,12.39057717,11.67220559,9.953056361,10.3905756,9.768039374
DCUN1D4,10.4941673,9.577186509,10.78166483,9.632515883,9.147930343,9.959959694
DCUN1D5,12.79017171,11.73074703,12.23089747,10.24786032,10.21120456,9.937979476
DCXR,11.73090586,11.43872626,11.16708716,12.13563496,11.95646698,11.96542047
DCXR-DT,5.990074363,5.884823932,5.889425093,6.308732116,6.190960507,6.538124066
DDA1,12.75884596,12.09231267,12.3528337,11.96977565,11.86088746,11.75323372
DDAH2,10.42873096,8.754724383,9.60765909,10.03633481,9.687153983,9.499364122
DDB1,14.95012713,14.39737665,14.55743131,14.33118206,14.10181708,14.0004208
DDB2,11.88151471,11.45317835,11.69828371,12.36986955,11.97399137,12.36224859
DDC,5.990074363,5.884823932,5.97426954,5.88294886,5.876459265,6.181888762
DDHD1,13.11101316,12.59123866,12.97141388,11.96483571,11.65818065,11.58333397
DDHD1-DT,6.783863247,6.56889203,6.671805153,6.446232613,6.288621095,6.432068258
DDHD2,11.09266132,11.18468632,10.96024385,11.82696415,11.47568775,11.71126831
DDI2,12.53858045,12.09428948,12.28170243,11.39224992,11.41305824,11.86442314
DDIAS,10.9311876,10.48481345,9.103566262,8.699324873,9.479632168,7.344612377
DDIT3,8.368829291,9.105932853,8.628614955,10.19692193,9.575019336,10.53662083
DDIT4,11.45161371,13.49447372,12.08214206,11.26250205,13.93991322,12.35131304
DDIT4L,5.684002536,5.967778528,6.039207632,5.88294886,6.733084126,6.682395028
DDN,7.068552261,6.344798264,6.710547971,6.169412848,5.955976396,5.951075045
DDN-AS1,6.840428876,6.650444886,6.898421453,6.394675016,6.190960507,6.181888762
DDO,5.684002536,6.401249615,5.97426954,5.684002536,6.512108865,5.684002536
DDOST,14.39500628,14.10438645,13.97103802,14.56304296,14.17396357,14.16286891
DDR1,9.329509002,8.578431053,8.806489269,7.976927759,7.440758135,8.030382792
DDR2,6.538771651,6.501690324,6.519953428,6.308732116,6.113084811,6.432068258
DDRGK1,12.39633033,12.28866544,11.85779183,12.47659363,12.27726942,12.11515967
DDT,10.15172114,9.799413607,9.841501296,10.07360441,9.855539417,9.605089206
DDTL,7.243936385,7.400868365,7.239434727,7.319327628,7.432390579,7.244608043
DDTP1,5.684002536,5.967778528,6.09381558,6.080957172,5.955976396,6.105385029
DDX1,12.49163856,12.32053689,12.26159467,11.79551026,11.90843746,11.58167113
DDX10,12.37787485,11.71455827,12.36915649,9.412698438,9.888086142,9.750328021
DDX10P1,5.684002536,6.344798264,5.889425093,5.88294886,6.258007383,5.951075045
DDX11,9.495106827,10.5156607,8.95517709,9.864645308,10.87922669,8.777045027
DDX11-AS1,6.329109341,6.344798264,6.519953428,6.494239099,6.468412658,6.359686744
DDX11L2,6.395906702,6.344798264,6.913807781,6.622249602,6.371894938,7.47647053
DDX12P,7.406846293,8.279996382,6.973103253,8.131452364,8.975770768,7.616544762
DDX17,13.13932967,13.92110632,13.28491807,14.39020253,14.47350682,14.02050036
DDX18,13.34138975,12.75408972,13.28159387,11.88937628,11.85054209,11.96190978
DDX18P1,5.990074363,5.967778528,6.261649895,6.028044969,5.955976396,5.684002536
DDX19A,11.46115649,10.85601084,11.28471214,9.919806319,10.05560576,9.930140654
DDX19A-DT,6.764220249,6.825887558,7.001510832,6.517105505,6.700053429,6.76152374
DDX19B,9.226260393,9.914599761,9.026948849,10.23851908,10.13551065,10.38071081
DDX20,11.65810272,11.18096926,11.50134718,10.48449341,10.34854826,10.42965311
DDX21,15.97610645,15.04733902,15.87139096,12.38526837,12.14836927,12.032072
DDX23,13.1070307,13.07920823,12.99374749,13.11681567,13.3664186,12.98641964
DDX24,14.07047647,13.39321376,14.12541067,13.43621415,13.03446074,14.04136297
DDX27,12.40655083,12.32951515,12.24058017,11.63994301,11.87397987,11.7271488
DDX28,11.62346521,10.64728257,10.96326688,11.04160737,10.17156089,11.02573825
