,ensembl_gene_id,ensembl_transcript_id,hgnc_symbol
44280,ENSG00000006459,ENST00000397560,KDM7A
38952,ENSG00000006468,ENST00000430479,ETV1
44100,ENSG00000006530,ENST00000473247,AGK
90940,ENSG00000006534,ENST00000614849,ALDH3B1
1321,ENSG00000006555,ENST00000371276,TTC22
56103,ENSG00000006576,ENST00000422959,PHTF2
53459,ENSG00000006606,ENST00000394905,CCL26
3773,ENSG00000006607,ENST00000264042,FARP2
45596,ENSG00000006625,ENST00000275428,GGCT
51639,ENSG00000006634,ENST00000413643,DBF4
155340,ENSG00000006638,ENST00000375190,TBXA2R
45280,ENSG00000006652,ENST00000675578,IFRD1
113408,ENSG00000006695,ENST00000670279,COX10
53315,ENSG00000006704,ENST00000265755,GTF2IRD1
149164,ENSG00000006712,ENST00000221265,PAF1
40937,ENSG00000006715,ENST00000310301,VPS41
123475,ENSG00000006740,ENST00000379672,ARHGAP44
113307,ENSG00000006744,ENST00000338034,ELAC2
38868,ENSG00000006747,ENST00000341757,SCIN
40497,ENSG00000006756,ENST00000381154,ARSD
43144,ENSG00000006757,ENST00000381042,PNPLA4
79878,ENSG00000006831,ENST00000537545,ADIPOR2
51043,ENSG00000006837,ENST00000520693,CDKL3
5173,ENSG00000007001,ENST00000605860,UPP2
119785,ENSG00000007038,ENST00000450020,PRSS21
158305,ENSG00000007047,ENST00000587566,MARK4
156244,ENSG00000007080,ENST00000445755,CCDC124
160410,ENSG00000007129,ENST00000618577,CEACAM21
114666,ENSG00000007168,ENST00000576586,PAFAH1B1
160052,ENSG00000007171,ENST00000313735,NOS2
153089,ENSG00000007202,ENST00000528896,KIAA0100
117701,ENSG00000007237,ENST00000437099,GAS7
152293,ENSG00000007255,ENST00000006275,TRAPPC6A
143297,ENSG00000007264,ENST00000395040,MATK
160659,ENSG00000007312,ENST00000698624,CD79B
154864,ENSG00000007314,ENST00000435607,SCN4A
4931,ENSG00000007341,ENST00000361846,ST7L
71104,ENSG00000007350,ENST00000369915,TKTL1
89964,ENSG00000007372,ENST00000606377,PAX6
109706,ENSG00000007376,ENST00000561734,RPUSD1
115349,ENSG00000007384,ENST00000262316,RHBDF1
116945,ENSG00000007392,ENST00000426094,LUC7L
7648,ENSG00000007402,ENST00000423994,CACNA2D2
118298,ENSG00000007516,ENST00000565665,BAIAP3
118490,ENSG00000007520,ENST00000007390,TSR3
114249,ENSG00000007541,ENST00000293874,PIGQ
110726,ENSG00000007545,ENST00000674071,CRAMP1
46402,ENSG00000007866,ENST00000402886,TEAD3
18710,ENSG00000007923,ENST00000451196,DNAJC11
36406,ENSG00000007944,ENST00000356840,MYLIP
70023,ENSG00000007952,ENST00000372966,NOX1
5387,ENSG00000007968,ENST00000361729,E2F2
39854,ENSG00000008018,ENST00000262193,PSMB1
70962,ENSG00000008056,ENST00000295987,SYN1
36243,ENSG00000008083,ENST00000341776,JARID2
69399,ENSG00000008086,ENST00000379996,CDKL5
4601,ENSG00000008118,ENST00000651530,CAMK1G
8636,ENSG00000008128,ENST00000404249,CDK11A
8671,ENSG00000008130,ENST00000341426,NADK
5247,ENSG00000008226,ENST00000440294,DLEC1
39362,ENSG00000008256,ENST00000350796,CYTH3
51690,ENSG00000008277,ENST00000398204,ADAM22
50437,ENSG00000008282,ENST00000455385,SYPL1
153397,ENSG00000008283,ENST00000392975,CYB561
158445,ENSG00000008294,ENST00000262013,SPAG9
9212,ENSG00000008300,ENST00000164024,CELSR3
50609,ENSG00000008311,ENST00000679864,AASS
89109,ENSG00000008323,ENST00000011684,PLEKHG6
8622,ENSG00000008324,ENST00000447630,SS18L2
153081,ENSG00000008382,ENST00000262966,MPND
107759,ENSG00000008394,ENST00000536371,MGST1
112525,ENSG00000008405,ENST00000008527,CRY1
149656,ENSG00000008438,ENST00000008938,PGLYRP1
157788,ENSG00000008441,ENST00000592199,NFIX
74031,ENSG00000008513,ENST00000521180,ST3GAL1
120519,ENSG00000008516,ENST00000612971,MMP25
122275,ENSG00000008517,ENST00000325568,IL32
108819,ENSG00000008710,ENST00000262304,PKD1
147802,ENSG00000008735,ENST00000329492,MAPK8IP2
158640,ENSG00000008838,ENST00000394126,MED24
81390,ENSG00000008853,ENST00000519685,RHOBTB2
4375,ENSG00000008869,ENST00000425467,HEATR5B
57683,ENSG00000008952,ENST00000461933,SEC62
77038,ENSG00000008988,ENST00000618656,RPS20
18444,ENSG00000009307,ENST00000339438,CSDE1
43430,ENSG00000009335,ENST00000348165,UBE3C
37350,ENSG00000009413,ENST00000462119,REV3L
81528,ENSG00000009694,ENST00000371130,TENM1
21770,ENSG00000009724,ENST00000700088,MASP2
8168,ENSG00000009780,ENST00000373954,FAM76A
19988,ENSG00000009790,ENST00000400959,TRAF3IP3
113541,ENSG00000009830,ENST00000683784,POMT2
37573,ENSG00000009844,ENST00000367630,VTA1
53238,ENSG00000009950,ENST00000345114,MLXIPL
53172,ENSG00000009954,ENST00000339594,BAZ1B
44802,ENSG00000010017,ENST00000011619,RANBP9
45009,ENSG00000010030,ENST00000339796,ETV7
4322,ENSG00000010072,ENST00000391858,SPRTN
16404,ENSG00000010165,ENST00000361735,METTL13
90101,ENSG00000010219,ENST00000543431,DYRK4
154560,ENSG00000010244,ENST00000321233,ZNF207
9135,ENSG00000010256,ENST00000471189,UQCRC1
56474,ENSG00000010270,ENST00000009041,STARD3NL
86045,ENSG00000010278,ENST00000382518,CD9
86668,ENSG00000010292,ENST00000541399,NCAPD2
87169,ENSG00000010295,ENST00000472558,IFFO1
154634,ENSG00000010310,ENST00000652180,GIPR
12905,ENSG00000010318,ENST00000327906,PHF7
9545,ENSG00000010319,ENST00000231721,SEMA3G
9560,ENSG00000010322,ENST00000479054,NISCH
2037,ENSG00000010327,ENST00000321725,STAB1
151994,ENSG00000010361,ENST00000313777,FUZ
71536,ENSG00000010379,ENST00000343164,SLC6A13
70518,ENSG00000010404,ENST00000340855,IDS
79785,ENSG00000010438,ENST00000468152,PRSS3
116935,ENSG00000010539,ENST00000396868,ZNF200
82607,ENSG00000010610,ENST00000535707,CD4
82695,ENSG00000010626,ENST00000433346,LRRC23
80194,ENSG00000010671,ENST00000695614,BTK
45148,ENSG00000010704,ENST00000353147,HFE
19778,ENSG00000010803,ENST00000326197,SCMH1
40283,ENSG00000010810,ENST00000368682,FYN
38847,ENSG00000010818,ENST00000367603,HIVEP2
4305,ENSG00000010932,ENST00000617670,FMO1
17366,ENSG00000011007,ENST00000609199,ELOA
5401,ENSG00000011009,ENST00000374514,LYPLA2
401,ENSG00000011021,ENST00000346436,CLCN6
156318,ENSG00000011028,ENST00000303375,MRC2
146608,ENSG00000011052,ENST00000393193,NME1-NME2
53508,ENSG00000011083,ENST00000230671,SLC6A7
90809,ENSG00000011105,ENST00000537971,TSPAN9
119106,ENSG00000011114,ENST00000355125,BTBD7
142359,ENSG00000011132,ENST00000588984,APBA3
152939,ENSG00000011143,ENST00000678763,MKS1
1165,ENSG00000011198,ENST00000643520,ABHD5
155448,ENSG00000011243,ENST00000397410,AKAP8L
147692,ENSG00000011258,ENST00000586178,MBTD1
146380,ENSG00000011260,ENST00000225298,UTP18
46904,ENSG00000011275,ENST00000425013,RNF216
106805,ENSG00000011295,ENST00000261647,TTC19
153662,ENSG00000011304,ENST00000635647,PTBP1
158621,ENSG00000011332,ENST00000355526,DPF1
72040,ENSG00000011347,ENST00000263846,SYT7
10069,ENSG00000011376,ENST00000650792,LARS2
88723,ENSG00000011405,ENST00000531428,PIK3C2A
146858,ENSG00000011422,ENST00000339082,PLAUR
39578,ENSG00000011426,ENST00000265748,ANLN
154953,ENSG00000011451,ENST00000674001,WIZ
75125,ENSG00000011454,ENST00000456584,RABGAP1
154643,ENSG00000011478,ENST00000677024,QPCTL
160130,ENSG00000011485,ENST00000012443,PPP5C
2255,ENSG00000011523,ENST00000475851,CEP68
13437,ENSG00000011566,ENST00000263881,MAP4K3
157805,ENSG00000011590,ENST00000392197,ZBTB32
154164,ENSG00000011600,ENST00000424586,TYROBP
120073,ENSG00000011638,ENST00000573487,LDAF1
161048,ENSG00000012048,ENST00000357654,BRCA1
150305,ENSG00000012061,ENST00000300853,ERCC1
148975,ENSG00000012124,ENST00000598537,CD22
8824,ENSG00000012171,ENST00000621029,SEMA3B
69390,ENSG00000012174,ENST00000465888,MBTPS2
72492,ENSG00000012211,ENST00000599218,PRICKLE3
84367,ENSG00000012232,ENST00000522725,EXTL3
36604,ENSG00000012660,ENST00000304434,ELOVL5
