,1921.stim,2921..stim,966.stim,921.unstim,921..unstim,6966.unstim
ENSG00000141179,9.342553451,10.24691595,9.323226149,10.09576935,10.98286435,9.989171702
ENSG00000214226,8.790926161,8.445731465,8.406626567,8.855907724,8.665357344,8.47942903
ENSG00000153933,12.12716652,10.6932603,11.83817473,10.38115115,10.00104754,10.70046526
ENSG00000121060,14.08423935,14.01574188,13.85149933,12.47088102,13.07163427,12.58085487
ENSG00000274213,7.938655083,7.282518329,7.693419226,6.207898878,6.716722661,6.277846683
ENSG00000121058,10.69368815,10.62555652,10.75312266,10.05242609,10.2606192,10.01533406
ENSG00000121064,9.518254096,10.17263907,10.47130944,10.60199022,10.8608494,12.11026677
ENSG00000263004,6.292768387,6.314537953,6.261649895,7.028540909,6.780460976,7.395772412
ENSG00000121057,12.44582301,11.65642204,12.54178162,10.35546304,10.0667672,11.06912068
ENSG00000263089,6.292768387,6.031277264,6.09381558,6.27712853,6.016855862,6.776548116
ENSG00000153944,12.81665725,12.82999257,12.98615566,12.83860367,12.62531549,12.33734125
ENSG00000279555,6.484984805,6.282649104,6.566358688,6.028044969,6.371894938,6.247764386
ENSG00000279281,6.876360283,6.45326313,6.691392152,6.394675016,6.113084811,6.181888762
ENSG00000263499,5.990074363,6.131617921,6.09381558,5.965133095,5.876459265,5.951075045
ENSG00000242889,5.90063054,5.967778528,6.29618768,5.684002536,5.684002536,5.684002536
ENSG00000181610,12.43103133,11.59351528,11.96078277,10.83811992,10.76906803,10.66082493
ENSG00000180891,6.960853961,7.196345928,7.069335333,6.47063773,7.99219275,6.497529838
ENSG00000136451,11.7741309,11.84473906,12.02545136,12.16884592,11.9958444,12.16458577
ENSG00000280233,6.42689428,6.401249615,6.543505487,6.622249602,6.317676649,6.215893106
ENSG00000264112,7.559854665,7.591607217,7.605103511,7.761248167,7.647506263,8.631264335
ENSG00000136450,14.45046373,14.1888234,13.99918378,13.32469844,13.77544347,12.75524671
ENSG00000279069,7.395926168,7.218506969,7.261762395,6.84688864,6.825527417,6.613438665
ENSG00000264364,13.46225703,12.91259372,13.25918344,13.35130212,13.09130758,13.41623316
ENSG00000279207,7.500925756,7.615478856,7.990159973,7.801991453,7.831231239,8.365453204
ENSG00000229590,5.90063054,5.684002536,5.889425093,6.602302164,6.016855862,7.081381683
ENSG00000121053,5.990074363,6.084680694,6.09381558,6.243638289,6.225570687,6.518100858
ENSG00000278627,5.990074363,5.684002536,5.97426954,5.965133095,6.016855862,6.277846683
ENSG00000011143,8.65409474,9.057684297,8.69291897,9.461870681,9.666072711,9.811382967
ENSG00000167419,5.684002536,6.031277264,6.09381558,6.127464679,6.068066365,6.010865934
ENSG00000005381,6.166599461,6.477882595,6.141806269,5.684002536,6.68306074,5.951075045
ENSG00000005379,9.214943061,9.295603576,8.685505587,9.673043689,9.711098915,9.168125897
ENSG00000265148,9.868795826,10.6273796,9.893259297,10.72154389,11.14641991,10.69585794
ENSG00000265206,10.32528698,11.6312246,11.05962702,9.768798754,11.69891968,10.8851343
ENSG00000213246,13.34235799,12.63512224,12.95973795,12.45687672,12.39313373,12.32795097
ENSG00000108375,6.681070627,6.917242183,7.536734877,6.560863378,6.716722661,6.927788386
ENSG00000176160,6.613014956,6.524755774,7.042724196,6.127464679,6.288621095,6.408808821
ENSG00000266648,6.292768387,6.084680694,6.09381558,6.207898878,5.684002536,5.951075045
ENSG00000108389,11.5961181,11.88107282,11.77724048,11.8497296,11.7819886,11.94033999
ENSG00000264672,5.684002536,5.684002536,5.889425093,6.028044969,5.684002536,6.247764386
ENSG00000108387,6.116049387,5.967778528,6.039207632,7.015656397,6.999804947,7.254064602
ENSG00000121101,6.42689428,6.56889203,6.783310397,6.169412848,6.153695847,6.746248139
ENSG00000212195,6.212174677,6.131617921,6.224787199,5.684002536,6.016855862,5.872985945
ENSG00000108384,9.61157496,9.799413607,9.564348916,10.04037457,10.00104754,10.24948332
ENSG00000175175,6.058513389,6.131617921,6.261649895,5.965133095,6.190960507,6.277846683
ENSG00000108395,10.85176002,10.68453171,10.74787185,10.68679422,10.52510779,10.74277064
ENSG00000224738,6.893841624,6.630803293,6.470497404,6.367314084,6.468412658,6.181888762
ENSG00000182628,10.33571297,11.26646641,9.494721858,11.6921203,11.81465535,11.4025295
ENSG00000068489,9.476315039,11.21650545,8.073946525,11.69851168,12.0294392,10.09692051
ENSG00000265415,6.876360283,8.275226816,6.389167843,8.561603405,8.79484248,7.47647053
ENSG00000167447,11.44321165,11.02106182,11.2065215,10.72070624,10.52959153,10.73231024
ENSG00000153982,6.783863247,7.207480715,6.958600472,7.965174178,7.781358012,8.156142167
ENSG00000175155,9.243069235,9.431849141,11.05892072,12.20400689,10.190953,13.10226313
ENSG00000108406,10.89466564,10.63646053,11.07926418,11.10843186,10.59607869,10.96706015
ENSG00000273702,6.840428876,6.524755774,6.671805153,7.015656397,6.749152272,7.370467624
ENSG00000141367,14.49808725,14.37248203,14.24992833,14.46075237,14.23973811,14.07668256
ENSG00000141378,11.55938469,10.52742628,11.42503828,8.840387807,8.95707534,8.744261325
ENSG00000062716,12.53717165,12.48048092,12.30302504,11.6527266,11.79469771,11.33947195
ENSG00000108423,8.939952316,8.78482247,8.843499401,8.821535034,8.691580678,8.490325933
ENSG00000270264,5.990074363,6.173951857,6.141806269,6.169412848,6.225570687,6.145279158
ENSG00000108443,11.82490113,11.56100187,11.74424352,11.15069831,11.07403399,10.96897025
ENSG00000189050,9.752789153,10.07838829,10.06803562,9.032657146,9.483349742,9.216428166
ENSG00000267302,6.292768387,6.344798264,6.141806269,6.27712853,6.665727502,6.247764386
ENSG00000266992,6.116049387,5.884823932,5.684002536,6.169412848,5.955976396,5.684002536
ENSG00000264049,6.681070627,6.688413461,6.63122822,6.517105505,6.6299629,6.47636798
ENSG00000068097,10.83349851,10.86066671,11.30272007,10.47756559,10.42372071,10.49831631
ENSG00000267416,6.363389184,6.248855168,6.224787199,6.27712853,6.225570687,6.215893106
ENSG00000261040,5.90063054,6.501690324,6.039207632,5.684002536,6.611488554,5.951075045
ENSG00000280852,5.990074363,5.967778528,6.039207632,5.965133095,5.684002536,5.951075045
ENSG00000267248,7.304752285,6.56889203,7.746587551,6.697601493,6.592587141,7.215759612
ENSG00000170832,10.77345539,10.5235151,10.81802713,11.07212808,10.61053969,10.8654427
ENSG00000252577,5.990074363,5.967778528,5.889425093,6.080957172,5.684002536,5.951075045
ENSG00000141371,6.058513389,5.967778528,6.141806269,5.88294886,5.684002536,5.951075045
ENSG00000213228,5.684002536,5.884823932,5.97426954,5.965133095,6.113084811,6.061164679
ENSG00000062725,10.91825007,10.89738162,10.73200356,11.47450602,11.18328551,11.31565851
ENSG00000270553,5.990074363,5.884823932,5.97426954,6.080957172,5.955976396,5.684002536
ENSG00000259349,5.90063054,6.031277264,6.141806269,6.080957172,6.288621095,6.277846683
ENSG00000170836,10.69368815,10.63555501,10.37122613,11.07802465,10.69278405,10.73829692
ENSG00000281267,6.212174677,5.967778528,6.141806269,5.684002536,6.016855862,6.215893106
ENSG00000141376,9.052611725,8.886901026,9.272636892,11.26019909,10.23886658,11.54032075
ENSG00000239932,5.684002536,5.684002536,5.889425093,5.965133095,6.016855862,6.105385029
ENSG00000227694,6.253970968,6.084680694,6.29618768,6.367314084,6.068066365,6.181888762
ENSG00000266934,5.684002536,5.684002536,5.684002536,6.028044969,6.016855862,6.359686744
ENSG00000187013,5.990074363,6.031277264,5.97426954,5.684002536,6.225570687,5.872985945
ENSG00000253506,6.116049387,5.884823932,6.039207632,5.965133095,5.955976396,5.951075045
ENSG00000136492,7.872751163,8.982080875,7.37744155,9.641424442,10.28735516,8.536580116
ENSG00000108506,10.2556106,10.53035271,10.32139678,10.0604046,10.65307104,9.860347577
ENSG00000108510,13.14266837,13.22149019,13.26347902,12.72279274,12.48570265,12.65880879
ENSG00000279133,6.992773616,7.218506969,7.082397185,6.539296354,6.700053429,6.47636798
ENSG00000266066,7.439023885,7.282518329,6.359695104,7.066279886,6.854423589,6.061164679
ENSG00000087995,11.25646981,10.6409796,11.05892072,9.724238138,9.941640264,9.709658111
ENSG00000146872,11.36212462,11.48115144,11.38728398,11.45299224,11.24015803,11.36096067
ENSG00000239246,6.212174677,6.212790155,6.1850857,6.308732116,6.153695847,6.215893106
ENSG00000274565,6.538771651,6.344798264,6.417368493,5.684002536,6.016855862,6.145279158
ENSG00000011028,10.16640432,10.71485307,10.39270554,8.141838055,9.470295661,8.956562728
ENSG00000279713,6.166599461,6.173951857,6.566358688,5.684002536,5.876459265,6.061164679
ENSG00000170921,6.764220249,6.776724038,6.83434583,7.299424067,7.39832707,7.588338363
ENSG00000008283,8.946833894,9.054955025,9.714128142,10.1848125,9.387375453,10.21766767
ENSG00000159640,5.684002536,8.251125691,6.09381558,6.207898878,8.962442189,6.061164679
ENSG00000136485,14.18716462,14.27339612,13.84905151,14.1328246,14.36986855,13.59476191
ENSG00000200560,5.684002536,6.031277264,5.97426954,5.965133095,5.876459265,6.010865934
ENSG00000136463,10.751251,10.5235151,10.40721932,9.941578318,10.33631138,9.887594454
ENSG00000270587,6.564302067,6.590060898,6.671805153,6.47063773,6.648035044,6.359686744
ENSG00000198909,10.45047578,10.69673698,10.63103582,12.65475461,12.09557743,12.74729747
ENSG00000136490,12.69836866,13.59352197,11.69374258,14.75571869,14.97296864,14.4189717
ENSG00000279369,9.84523756,10.09694951,9.387999289,11.21394497,11.15630467,10.96195415
ENSG00000266173,9.108811838,9.277034835,9.03276859,9.481869421,9.820771074,9.608372858
ENSG00000108588,13.43073993,13.06399179,13.15783524,11.92360421,12.33316567,11.61903425
ENSG00000198231,12.91473788,12.83787905,13.09810286,12.56084375,12.64835489,12.81129451
ENSG00000108592,13.29096022,12.82345361,12.92413217,12.0247232,12.13579208,11.4165901
ENSG00000087191,13.2009465,13.2357373,12.92025074,12.67498672,13.0213237,12.18854131
ENSG00000108604,12.97362323,12.88221752,12.42473712,13.4282904,13.31921579,12.81536739
ENSG00000240280,5.90063054,5.967778528,5.889425093,6.127464679,6.190960507,6.061164679
ENSG00000007312,7.111567143,6.959946634,7.562814908,8.699324873,8.096272302,9.732394933
ENSG00000007314,6.166599461,6.248855168,5.97426954,6.308732116,6.468412658,6.518100858
ENSG00000264954,6.65898947,6.084680694,6.261649895,6.27712853,6.190960507,6.181888762
ENSG00000224383,9.292335822,8.46250984,9.070024651,8.192602327,7.729483838,7.908313738
ENSG00000108622,11.63668356,10.49583509,11.64752694,10.07360441,9.267293858,10.15071914
ENSG00000178607,14.51779106,14.26398829,14.83049624,15.77625686,14.40307379,16.28448592
ENSG00000266402,7.373782058,6.902594549,7.120663611,6.732952317,6.490586911,6.665675681
ENSG00000199753,8.099892657,7.965157478,8.147322461,6.539296354,6.974876107,6.95295225
ENSG00000136478,11.8327324,11.00152307,11.69101102,10.94882702,10.47204915,11.1272863
ENSG00000261371,8.404714176,12.21941175,8.302860149,8.569201421,11.6557239,9.037199215
ENSG00000271605,6.212174677,6.793400613,5.684002536,6.84688864,7.14895907,6.105385029
ENSG00000256525,8.836200264,8.747947307,8.34626209,9.175054428,9.027862683,9.312413273
ENSG00000108654,14.93891575,14.95359717,14.97205805,13.93073083,14.26096814,14.01335012
ENSG00000258890,9.525125763,9.497386093,9.644036071,9.826135762,9.776090032,9.729384133
ENSG00000108854,10.65572716,10.19864537,10.56189206,11.28589768,10.36771287,11.59492046
ENSG00000215769,6.512361826,6.959946634,6.444439246,7.248119451,7.794007214,7.353293675
ENSG00000265298,6.512361826,6.917242183,6.495641101,6.962464962,7.729483838,7.036471681
ENSG00000265982,7.053823798,7.343177262,6.817639033,7.458815193,7.818941308,7.081381683
ENSG00000214176,8.980747553,9.560047077,9.00342748,9.747516611,10.00749909,10.01903292
ENSG00000176809,6.564302067,6.776724038,7.205102626,7.053848227,7.059648282,7.816193183
ENSG00000265218,5.990074363,5.967778528,6.417368493,5.965133095,5.955976396,6.454566232
ENSG00000264057,5.684002536,6.212790155,6.141806269,6.080957172,5.955976396,6.181888762
ENSG00000265912,6.058513389,5.967778528,6.09381558,5.684002536,5.876459265,6.010865934
ENSG00000272006,6.116049387,5.684002536,6.039207632,6.028044969,6.068066365,5.684002536
ENSG00000232457,6.116049387,6.173951857,6.224787199,5.88294886,6.113084811,6.105385029
ENSG00000214174,7.95991101,7.959128824,8.360429461,8.284119025,8.040033522,8.493939261
ENSG00000120063,13.93241054,13.4894759,13.87464903,14.26175447,13.70562341,13.67520277
ENSG00000108370,8.454409798,9.481281745,8.939754466,9.971514559,10.73996624,9.69738255
ENSG00000168646,7.097417641,6.45326313,9.09803083,8.479208366,6.445528701,10.36724448
ENSG00000154240,7.32821484,6.809784147,7.181621936,6.308732116,6.068066365,6.061164679
ENSG00000154229,12.5564927,13.00427433,13.41362752,13.00989284,13.05681755,13.08359042
ENSG00000264630,6.116049387,6.212790155,6.1850857,6.080957172,6.016855862,5.872985945
ENSG00000229330,5.90063054,6.031277264,5.889425093,6.028044969,5.955976396,6.010865934
ENSG00000075461,5.90063054,6.212790155,6.039207632,7.015656397,6.974876107,6.277846683
ENSG00000198265,12.26597814,12.12587771,12.26863379,12.77108763,12.51309978,12.32596626
ENSG00000266473,6.744146361,6.248855168,6.83434583,6.86209826,6.749152272,6.557637453
ENSG00000197170,12.48054028,12.27187959,11.986628,11.39487635,11.39990552,10.83783246
ENSG00000154217,9.626553011,9.397916294,8.69291897,12.5803521,11.57654569,11.92337404
ENSG00000279917,6.166599461,5.967778528,5.889425093,6.207898878,6.068066365,5.872985945
ENSG00000279361,5.684002536,5.884823932,5.684002536,6.308732116,6.113084811,6.145279158
ENSG00000130935,12.48493139,11.94964922,12.28291212,10.66082556,10.89529038,10.57476912
ENSG00000171634,11.58415927,12.49726062,11.95206373,13.02556454,12.98215973,13.44348983
ENSG00000266717,6.395906702,6.45326313,6.29618768,6.622249602,6.421868569,6.497529838
ENSG00000279573,7.125535699,7.053203711,6.710547971,7.432185783,7.047947179,7.344612377
ENSG00000279880,6.292768387,6.314537953,6.1850857,6.602302164,6.39735457,6.408808821
ENSG00000186665,11.22670333,10.99023795,12.22681756,8.55778877,9.87825858,8.574549409
ENSG00000182481,15.01865671,14.6491067,14.66959234,13.24632461,13.87303069,11.77885516
ENSG00000237854,7.924292143,8.069247706,8.125168024,8.928111665,8.443422825,8.756271515
ENSG00000267023,8.118747135,8.255980109,8.263089858,8.971431425,8.865441431,9.246332613
ENSG00000278730,9.415943618,9.571496167,9.605718644,10.59102967,10.29791187,10.58560409
ENSG00000274561,6.116049387,6.42775076,6.470497404,6.539296354,6.882481134,6.861957446
ENSG00000277476,6.538771651,7.053203711,6.882792392,7.476249258,7.567386278,7.935824174
ENSG00000278740,5.990074363,6.084680694,5.97426954,6.891822899,6.592587141,7.145433807
ENSG00000267731,6.058513389,6.42775076,6.389167843,7.615248868,7.415479411,8.32117834
ENSG00000267472,5.990074363,6.031277264,6.1850857,7.501942475,6.764940439,7.0014953
ENSG00000274712,9.848887198,9.374110105,9.799723787,11.27453261,10.42564685,11.0091271
